n,e,Prims,Approx1,Approximation factor,Approximation factor normalized,avg. no of wrong edges ,,percentage error made per edges,avg. error made per edge(1 means 100% error)
100,246,435,509,1.17011,0.0117011,14.8,0.300813008,6.016260163,0.060162602
100,344,390,558,1.43077,0.0143077,33.6,0.488372093,9.76744186,0.097674419
100,442,322,545,1.69255,0.0169255,44.6,0.504524887,10.09049774,0.100904977
100,540,232,517,2.22845,0.0222845,57,0.527777778,10.55555556,0.105555556
100,638,224,569,2.54018,0.0254018,69,0.540752351,10.81504702,0.10815047
100,736,193,548,2.83938,0.0283938,71,0.482336957,9.64673913,0.096467391
100,834,200,535,2.675,0.02675,67,0.401678657,8.033573141,0.080335731
100,932,165,506,3.06667,0.0306667,68.2,0.365879828,7.317596567,0.073175966
100,1030,169,578,3.42012,0.0342012,81.8,0.397087379,7.941747573,0.079417476
100,1128,166,559,3.36747,0.0336747,78.6,0.348404255,6.968085106,0.069680851
100,1226,149,544,3.65101,0.0365101,79,0.322185971,6.443719413,0.064437194
100,1324,147,539,3.66667,0.0366667,78.4,0.296072508,5.921450151,0.059214502
100,1422,138,537,3.8913,0.038913,79.8,0.280590717,5.611814346,0.056118143
100,1520,133,525,3.94737,0.0394737,78.4,0.257894737,5.157894737,0.051578947
100,1618,125,536,4.288,0.04288,82.2,0.254017305,5.080346106,0.050803461
100,1716,124,524,4.22581,0.0422581,80,0.233100233,4.662004662,0.046620047
100,1814,123,552,4.4878,0.044878,85.8,0.236493936,4.729878721,0.047298787
100,1912,123,583,4.73984,0.0473984,92,0.240585774,4.811715481,0.048117155
100,2010,114,554,4.85965,0.0485965,88,0.218905473,4.378109453,0.043781095
100,2108,124,581,4.68548,0.0468548,91.4,0.216793169,4.335863378,0.043358634
100,2206,117,472,4.03419,0.0403419,71,0.160924751,3.218495014,0.03218495
100,2304,104,529,5.08654,0.0508654,85,0.184461806,3.689236111,0.036892361
100,2402,105,559,5.32381,0.0532381,90.8,0.189009159,3.780183181,0.037801832
100,2500,108,555,5.13889,0.0513889,89.4,0.1788,3.576,0.03576
100,2598,107,556,5.19626,0.0519626,89.8,0.17282525,3.456505004,0.03456505
100,2696,105,537,5.11429,0.0511429,86.4,0.160237389,3.204747774,0.032047478
100,2794,109,548,5.02752,0.0502752,87.8,0.157122405,3.142448103,0.031424481
100,2892,109,537,4.92661,0.0492661,85.6,0.147994467,2.95988935,0.029598893
100,2990,109,515,4.72477,0.0472477,81.2,0.135785953,2.715719064,0.027157191
100,3088,107,527,4.92523,0.0492523,84,0.136010363,2.720207254,0.027202073
100,3186,101,579,5.73267,0.0573267,95.6,0.150031387,3.000627746,0.030006277
100,3284,102,541,5.30392,0.0530392,87.8,0.133678441,2.673568819,0.026735688
100,3382,100,563,5.63,0.0563,92.6,0.136901242,2.738024837,0.027380248
100,3480,102,555,5.44118,0.0544118,90.6,0.130172414,2.603448276,0.026034483
100,3578,100,520,5.2,0.052,84,0.117384013,2.347680268,0.023476803
100,3676,101,567,5.61386,0.0561386,93.2,0.126768226,2.535364527,0.025353645
100,3774,101,545,5.39604,0.0539604,88.8,0.117647059,2.352941176,0.023529412
100,3872,101,521,5.15842,0.0515842,84,0.108471074,2.169421488,0.021694215
100,3970,100,539,5.39,0.0539,87.8,0.110579345,2.211586902,0.022115869
100,4068,100,539,5.39,0.0539,87.8,0.107915438,2.158308751,0.021583088
100,4166,101,566,5.60396,0.0560396,93,0.111617859,2.232357177,0.022323572
100,4264,102,616,6.03922,0.0603922,102.8,0.12054409,2.410881801,0.024108818
100,4362,101,554,5.48515,0.0548515,90.6,0.103851444,2.077028886,0.020770289
100,4460,101,513,5.07921,0.0507921,82.4,0.092376682,1.847533632,0.018475336
100,4558,100,597,5.97,0.0597,99.4,0.109039052,2.180781044,0.02180781
100,4656,99,506,5.11111,0.0511111,81.4,0.087414089,1.748281787,0.017482818
100,4754,101,537,5.31683,0.0531683,87.2,0.091712242,1.834244846,0.018342448
100,4852,102,528,5.17647,0.0517647,85.2,0.087798846,1.755976917,0.017559769
