n,e,Prims,Approx1,Approximation factor,Approximation factor normalized,avg. no of wrong edges ,,percentage error made per edges,avg. error made per edge(1 means 100% error),,Approximation factor,,,,0.83026,1.33026
100,200,515,144,1.17822,0.17822,, jugaad ,,,,1.05825,1.03465,,,Approximation factor normalized,
100,302,411,137,1.21795,0.21795,, jugaad ,,,,1.08081,1.04622,,,0.05825,1.05825
100,404,314,159,1.33026,0.33026,, jugaad ,,,,1.09901,1.05825,,,0.08081,1.08081
100,506,271,225,1.5303,0.5303,, jugaad ,,,,1.10101,1.08081,,,0.09901,1.09901
100,608,238,130,1.36076,0.36076,, jugaad ,,,,1.11111,1.09901,,,0.10101,1.10101
100,710,177,115,1.50637,0.50637,, jugaad ,,,,1.11215,1.1,,,0.11111,1.11111
100,812,187,58,1.21212,0.21212,, jugaad ,,,,1.13,1.10101,,,0.11215,1.11215
100,914,160,62,1.27961,0.27961,, jugaad ,,,,1.15,1.10317,,,0.13,1.13
100,1016,186,63,1.22222,0.22222,, jugaad ,,,,1.17822,1.10377,,,0.15,1.15
100,1118,158,57,1.24528,0.24528,, jugaad ,,,,1.19626,1.11111,,,0.17822,1.17822
100,1220,146,90,1.44554,0.44554,, jugaad ,,,,1.20339,1.11215,,,0.19626,1.19626
100,1322,135,30,1.13248,0.13248,, jugaad ,,,,1.20423,1.11644,,,0.20339,1.20339
100,1424,147,68,1.2973,0.2973,, jugaad ,,,,1.21212,1.13,,,0.20423,1.20423
100,1526,142,29,1.11644,0.11644,, jugaad ,,,,1.22222,1.13248,,,0.21212,1.21212
100,1628,132,70,1.33871,0.33871,, jugaad ,,,,1.24,1.14356,,,0.22222,1.22222
100,1730,118,24,1.11215,0.11215,, jugaad ,,,,1.24528,1.14972,,,0.24,1.24
100,1832,126,76,1.3875,0.3875,, jugaad ,,,,1.27885,1.15,,,0.24528,1.24528
100,1934,125,53,1.28713,0.28713,, jugaad ,,,,1.27961,1.17822,,,0.27885,1.27885
100,2036,111,33,1.20423,0.20423,, jugaad ,,,,1.28713,1.19626,,,0.27961,1.27961
100,2138,107,12,1.1,0.1,, jugaad ,,,,1.29524,1.20339,,,0.28713,1.28713
100,2240,117,74,1.46259,0.46259,, jugaad ,,,,1.2973,1.20423,,,0.29524,1.29524
100,2342,106,64,1.424,0.424,, jugaad ,,,,1.31016,1.21212,,,0.2973,1.2973
100,2444,117,84,1.51961,0.51961,, jugaad ,,,,1.33333,1.21795,,,0.31016,1.31016
100,2546,108,12,1.09901,0.09901,, jugaad ,,,,1.33871,1.22222,,,0.33333,1.33333
100,2648,107,21,1.11111,0.11111,, jugaad ,,,,1.34653,1.24,,,0.33871,1.33871
100,2750,106,26,1.14972,0.14972,, jugaad ,,,,1.36076,1.24528,,,0.34653,1.34653
100,2852,104,29,1.15,0.15,, jugaad ,,,,1.3619,1.27885,,,0.36076,1.36076
100,2954,101,54,1.34653,0.34653,, jugaad ,,,,1.3875,1.27961,,,0.3619,1.3619
100,3056,101,45,1.29524,0.29524,, jugaad ,,,,1.424,1.28713,,,0.3875,1.3875
100,3158,105,31,1.20339,0.20339,, jugaad ,,,,1.44554,1.29524,,,0.424,1.424
100,3260,100,60,1.3619,0.3619,, jugaad ,,,,1.46259,1.2973,,,0.44554,1.44554
100,3362,99,21,1.13,0.13,, jugaad ,,,,1.5,1.31016,,,0.46259,1.46259
100,3464,105,38,1.27885,0.27885,, jugaad ,,,,1.50637,1.33026,,,0.5,1.5
100,3566,101,35,1.24,0.24,, jugaad ,,,,1.51961,1.33333,,,0.50637,1.50637
100,3668,101,10,1.05825,0.05825,, jugaad ,,,,1.5303,1.33871,,,0.51961,1.51961
100,3770,99,10,1.08081,0.08081,, jugaad ,,,,1.53465,1.34653,,,0.5303,1.5303
100,3872,100,50,1.31016,0.31016,, jugaad ,,,,1.54622,1.36076,,,0.53465,1.03465
100,3974,100,24,1.14356,0.14356,, jugaad ,,,,1.6,1.3619,,,0.54622,1.04622
100,4076,102,53,1.33333,0.33333,, jugaad ,,,,1.60317,1.3875,,,0.6,1.1
100,4178,103,6,1.03465,0.03465,, jugaad ,,,,1.60377,1.424,,,0.60317,1.10317
100,4280,100,15,1.10317,0.10317,, jugaad ,,,,1.61644,1.44554,,,0.60377,1.10377
100,4382,101,18,1.10377,0.10377,, jugaad ,,,,1.63248,1.46259,,,0.61644,1.11644
100,4484,101,29,1.19626,0.19626,, jugaad ,,,,1.64356,1.5,,,0.63248,1.13248
100,4586,99,8,1.04622,0.04622,, jugaad ,,,,1.64972,1.50637,,,0.64356,1.14356
100,4688,100,13,1.10101,0.10101,, jugaad ,,,,1.71795,1.51961,,,0.64972,1.14972
100,4790,101,65,1.5,0.5,, jugaad ,,,,1.83026,1.5303,,,0.71795,1.21795
